Price,Size,Zip_Code,Type_Property,Status_Property,Status_Rent,City
81250,43434,UB7 7XH,Apartment,Old,Rented,Canoas
380000,43349,NW2 2LX,Apartment,Old,Rented,Natal
265000,43454,E4 7NN,Apartment,Old,Rented,Natal
710000,43280,E3 4SL,Apartment,Old,Rented,Natal
361000,43448,NW9 7FH,Apartment,New,Rented,Natal
600000,43374,W4 2DZ,Apartment,New,Rented,Natal
499999,43448,NW9 7FE,Apartment,New,Rented,Natal
1698400,43328,N1C 4BX,Apartment,New,Rented,Natal
835000,43341,SW6 6JS,Apartment,Old,Rented,Natal
201600,43276,RM7 8EJ,Apartment,Old,Rented,Canoas
882000,43454,W14 0HD,Apartment,Old,Rented,Natal
540000,43227,E14 6JS,Apartment,Old,Rented,Natal
206000,42794,CR2 8LL,Other,Old,Empty,Canoas
401000,42783,N8 7PG,Apartment,Old,Rented,Natal
390000,42747,SW16 2BQ,Apartment,Old,Rented,Natal
8250000,42961,SE8 3GZ,Other,Old,Rented,Natal
860000,42815,N12 0JL,House without Backyard,Old,Empty,Natal
430000,43077,BR2 6DU,House With Backyard,Old,Empty,Canoas
325000,42781,TW7 7DE,Penthouse Apartment,Old,Empty,Brusque
2950000,42997,NW4 1SX,House With Backyard,Old,Empty,Natal
350563,42921,SW18 1QZ,Apartment,New,Rented,Natal
860000,43322,N5 2ET,Apartment,Old,Rented,Natal
580000,43244,UB3 2RP,House without Backyard,Old,Rented,Canoas
280000,43144,SM4 5BW,Apartment,Old,Rented,Canoas
468000,43356,SE20 7BE,Apartment,Old,Rented,Natal
735000,43381,SE26 5PN,Apartment,Old,Rented,Natal
224000,43266,CR2 7EA,Apartment,Old,Rented,Canoas
580000,43430,SW4 6FF,Apartment,Old,Rented,Natal
466650,43454,SW19 4JG,Apartment,Old,Rented,Natal
270000,43256,RM10 9BP,Penthouse Apartment,Old,Empty,Canoas
1665000,43175,SE1 7GG,Apartment,Old,Rented,Natal
600000,43420,SW2 5TX,Apartment,Old,Rented,Natal
710000,43283,SW18 1GF,Apartment,Old,Rented,Natal
390000,43201,SE15 2ND,Apartment,Old,Rented,Natal
240435,37033,E14 5SH,Apartment,New,Rented,Natal
115000,37209,N8 7PG,Penthouse Apartment,Old,Rented,Natal
145000,37168,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
73500,35459,UB3 4BG,Penthouse Apartment,Old,Empty,Ipatinga
125000,35563,SE1 2BB,Apartment,New,Rented,Natal
175000,35640,SW17 7HP,Penthouse Apartment,Old,Empty,Natal
104000,35475,SW6 2RX,Apartment,Old,Rented,Natal
250000,35608,EC1V 1JB,Apartment,Old,Empty,Natal
94000,35478,UB6 0SU,Penthouse Apartment,Old,Empty,Canoas
80500,35516,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
133000,35556,NW5 2JD,Apartment,Old,Rented,Natal
78500,35657,RM7 8HH,Penthouse Apartment,Old,Empty,Canoas
127000,35704,HA0 3SF,House without Backyard,Old,Empty,Canoas
78000,35611,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
429950,42433,N8 0QH,Apartment,Old,Rented,Natal
310400,42551,E14 9BE,Apartment,New,Rented,Natal
555000,42678,E16 1XD,Apartment,Old,Rented,Natal
384750,42593,SE10 0TX,Apartment,New,Rented,Natal
400000,42444,SW16 1NJ,Apartment,Old,Rented,Natal
450000,42444,SW16 1NJ,Apartment,Old,Rented,Natal
700000,43215,SW12 0HH,Apartment,Old,Rented,Natal
380000,43406,SW18 4PD,Apartment,Old,Rented,Natal
534995,43385,SE5 7FX,Apartment,New,Rented,Natal
750900,43452,SW11 7AJ,Apartment,New,Rented,Natal
697300,43279,SW11 7AH,Apartment,New,Rented,Natal
600000,43287,SW18 3QX,Apartment,Old,Rented,Natal
10000,43454,TW7 4PX,Other,Old,Rented,Brusque
10000,43447,E17 4NB,Other,Old,Rented,Natal
270000,43433,N17 0EY,Other,Old,Rented,Natal
34562,43115,N14 6DA,Other,Old,Rented,Natal
175000,43433,NW4 4RL,Apartment,Old,Rented,Natal
150000,43433,NW4 4RL,Other,Old,Rented,Natal
150000,43433,NW4 4RL,Other,Old,Rented,Natal
150000,43433,NW4 4RL,Other,Old,Rented,Natal
175000,43433,NW4 4RL,Apartment,Old,Rented,Natal
1875000,43385,SW1A 1RD,Apartment,Old,Rented,Natal
250000,43404,EN3 4SN,Apartment,Old,Rented,Salvador
352000,43188,E14 0BH,Apartment,Old,Rented,Natal
1997621,43356,NW3 6DH,House without Backyard,Old,Empty,Natal
1200000,43356,NW3 4LL,Other,Old,Empty,Natal
500000,42431,IG1 4AA,Other,Old,Empty,Rio de Janeiro
156000,42663,CR7 8NF,Other,Old,Empty,Palmas
389950,42389,N8 7PG,Apartment,Old,Rented,Natal
515000,42452,EC2A 4QS,Apartment,Old,Rented,Natal
280000,42458,E12 5PF,Apartment,Old,Rented,Natal
395000,42472,N8 7PG,Apartment,Old,Rented,Natal
247500,42562,UB6 0SU,Penthouse Apartment,Old,Empty,Canoas
191500,42502,CR7 7BB,Apartment,Old,Rented,Palmas
520000,42706,N9 0AX,Penthouse Apartment,Old,Empty,Natal
412000,42487,N8 7PG,Apartment,Old,Rented,Natal
855095,43356,NW3 4EH,Penthouse Apartment,Old,Empty,Natal
30000,43454,KT6 4LW,Other,Old,Rented,Canoas
12000,43453,CR2 9BX,Other,Old,Rented,Osasco
292500,43424,SE8 3AJ,Apartment,Old,Rented,Natal
41500,43139,SE13 6UF,Other,Old,Empty,Natal
83425,43454,SE12 8JE,Other,Old,Empty,Natal
11250,43416,TW10 6AP,Other,Old,Empty,Osasco
740000,43297,SW17 9PB,Apartment,Old,Rented,Natal
345000,43454,SE12 8UB,Penthouse Apartment,Old,Empty,Natal
700000,43361,SE10 9FR,Other,New,Rented,Natal
255000,43122,HA5 3TJ,Apartment,Old,Rented,Ipatinga
175000,43143,NW4 2JY,Other,Old,Empty,Natal
3000000,43222,HA2 0XH,Other,Old,Empty,Rio de Janeiro
330000,43243,BR5 3PG,Other,Old,Empty,Ipatinga
330000,43350,BR5 3PG,Other,Old,Empty,Ipatinga
1400000,43448,SE21 7AF,Other,Old,Empty,Natal
690000,43180,KT4 8BA,Other,Old,Empty,Osasco
2982650,43150,N1C 4BW,Apartment,New,Rented,Natal
435000,43224,SE5 9NG,Apartment,Old,Rented,Natal
5350000,43293,W1W 7LS,Apartment,Old,Rented,Natal
967500,43104,N1 8JY,House With Backyard,Old,Empty,Natal
650000,43216,BR1 2TE,House With Backyard,Old,Empty,Osasco
10700000,42744,WC1N 1PG,Other,Old,Empty,Natal
665000,43006,EN1 2JD,House With Backyard,Old,Empty,Salvador
155200,43014,E17 7FE,Apartment,New,Rented,Natal
155200,43014,E17 7FE,Apartment,New,Rented,Natal
155200,43014,E17 7FE,Apartment,New,Rented,Natal
155200,43014,E17 7FE,Apartment,New,Rented,Natal
495000,42968,E5 0DD,Apartment,Old,Rented,Natal
141250,42811,N1 5TQ,Apartment,Old,Rented,Natal
190000,35944,SW5 9LA,Apartment,Old,Rented,Natal
1730000,35845,W1S 4LE,Apartment,Old,Rented,Natal
235000,36097,SW5 0PL,Apartment,Old,Rented,Natal
169000,36126,W14 0NS,Apartment,Old,Rented,Natal
150000,38650,E10 6JQ,Apartment,Old,Rented,Natal
152000,36826,UB3 4BG,Penthouse Apartment,Old,Empty,Ipatinga
175000,36707,SW5 9PF,Apartment,Old,Rented,Natal
275000,36749,SW5 9PF,Apartment,Old,Rented,Natal
130000,36717,W3 7DA,Apartment,Old,Rented,Natal
243000,36791,SW5 9PF,Apartment,Old,Rented,Natal
234000,36691,TW2 5NH,Penthouse Apartment,Old,Empty,Belo Horizonte
101000,36783,KT3 3TD,Apartment,New,Rented,Barueri
498000,36728,SW15 6XP,Penthouse Apartment,Old,Empty,Natal
195000,36545,W14 0NS,Apartment,Old,Rented,Natal
60000,36878,CR7 7BB,Apartment,Old,Rented,Palmas
165000,36553,W4 2HD,Apartment,Old,Rented,Natal
109950,36622,N8 7PG,Apartment,Old,Rented,Natal
70000,36616,SE9 6UD,Penthouse Apartment,Old,Empty,Natal
95000,36819,RM8 1UU,Penthouse Apartment,Old,Empty,Belo Horizonte
79000,36760,N4 1DE,Apartment,Old,Rented,Natal
143000,36878,SW2 3LX,Apartment,Old,Rented,Natal
178000,43453,CR2 9BX,Apartment,Old,Rented,Ipatinga
370000,43252,SE5 9NG,Apartment,Old,Rented,Natal
750000,43406,CR3 0DH,House With Backyard,Old,Empty,Araraquara
355000,43321,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
508000,43300,SE26 6NR,Apartment,Old,Rented,Natal
414000,43231,NW6 1PN,Apartment,Old,Rented,Natal
4150000,43258,W1W 7LS,Apartment,Old,Rented,Natal
3850000,43258,W1W 7LS,Apartment,Old,Rented,Natal
383500,43186,N8 7PG,Apartment,Old,Rented,Natal
435000,43130,N12 8AA,Apartment,Old,Rented,Natal
383000,43441,N8 7PG,Apartment,Old,Rented,Natal
750000,43348,BR7 5LE,House With Backyard,Old,Empty,Santos
470000,43252,SW12 0NE,Other,Old,Empty,Natal
156166,43185,E15 1GH,Apartment,New,Rented,Natal
385000,43299,N8 7PG,Apartment,Old,Rented,Natal
54000,36152,E17 4LX,Apartment,Old,Rented,Natal
58000,36138,KT4 8BA,House without Backyard,Old,Empty,Ipatinga
96000,36132,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
250000,35950,UB1 1QF,Penthouse Apartment,Old,Empty,Ipatinga
63500,36014,TW8 0PF,Apartment,Old,Rented,Blumenau
515000,42300,SE4 1ST,Apartment,Old,Rented,Natal
2250000,42200,SW3 5EL,Other,Old,Empty,Natal
32000,42200,SE24 9AY,Other,Old,Empty,Natal
395000,42034,SW15 1HJ,Apartment,Old,Rented,Natal
2175000,42061,N1 6DL,Other,Old,Empty,Natal
39000,42013,BR2 9LD,Other,Old,Empty,Belo Horizonte
1485000,42180,NW3 7EE,Apartment,Old,Rented,Natal
397500,42261,N8 7PG,Apartment,Old,Rented,Natal
380000,42250,SE5 9PL,Apartment,Old,Rented,Natal
234950,42009,SW16 2JS,Apartment,Old,Rented,Natal
230000,42118,TW8 0HE,Apartment,Old,Rented,Blumenau
300000,42655,RM2 6DB,Other,Old,Empty,Canoas
300000,42699,CR0 0LQ,House without Backyard,Old,Empty,Fortaleza
123584,42622,E14 3NW,Apartment,New,Rented,Natal
70000,42452,HA2 6DJ,Apartment,Old,Rented,Rio de Janeiro
135000,42509,SW4 8EB,Apartment,Old,Rented,Natal
200000,42723,SE11 6HR,Apartment,Old,Rented,Natal
730000,41859,W14 0NS,Apartment,Old,Rented,Natal
390000,41654,NW8 7NG,Apartment,Old,Rented,Natal
385000,41730,SW18 3AG,Apartment,Old,Rented,Natal
367750,41964,N8 7PG,Apartment,Old,Rented,Natal
318000,41992,N8 7PG,Apartment,Old,Rented,Natal
183000,41834,SW16 2JS,Apartment,Old,Rented,Natal
305000,41988,BR3 5NP,Apartment,Old,Rented,Teresina
74932055,41675,W1S 2TL,Other,Old,Rented,Natal
160000,41782,CR7 7BB,Apartment,Old,Rented,Palmas
350500,41918,N8 7PG,Apartment,Old,Rented,Natal
315000,41691,N8 7PG,Apartment,Old,Rented,Natal
308000,41929,N8 7PG,Apartment,Old,Rented,Natal
118750,41801,N1 5TQ,Apartment,Old,Rented,Natal
369000,43343,BR1 5RN,House without Backyard,Old,Empty,Belo Horizonte
570000,43448,E16 4NP,Penthouse Apartment,Old,Empty,Natal
137500,43158,N1 5TQ,Apartment,Old,Rented,Natal
211000,43321,SW11 3FU,Apartment,New,Rented,Natal
150000,43389,SW20 8JB,Apartment,Old,Empty,Natal
392000,41285,IG1 1YN,Penthouse Apartment,Old,Empty,Rio de Janeiro
420000,41585,SW5 9PF,Apartment,Old,Rented,Natal
340000,41358,SE26 4BB,Penthouse Apartment,Old,Empty,Natal
450000,41530,TW9 1LX,Apartment,Old,Rented,Osasco
102000,41626,SE10 0LT,Apartment,Old,Rented,Natal
240000,41334,N8 7PG,Apartment,Old,Rented,Natal
250000,41439,N8 7PG,Apartment,Old,Rented,Natal
280000,41551,N8 7PG,Apartment,Old,Rented,Natal
547000,41453,SW6 2TZ,Apartment,Old,Rented,Natal
265000,41600,N8 7PG,Apartment,Old,Rented,Natal
344138,41540,E5 9UB,Apartment,Old,Rented,Natal
645615,41361,SW5 9UD,Apartment,Old,Rented,Natal
420000,41369,E14 5SH,Apartment,Old,Rented,Natal
268000,41491,N8 7PG,Apartment,Old,Rented,Natal
245000,41361,E2 0RW,Apartment,Old,Rented,Natal
278888,41526,N8 7PG,Apartment,Old,Rented,Natal
1980000,41288,NW1 9XA,House without Backyard,Old,Empty,Natal
695000,41386,NW5 2JD,Apartment,Old,Rented,Natal
98750,41523,N1 5TQ,Apartment,Old,Rented,Natal
399950,40724,HA4 7GL,House without Backyard,Old,Empty,Ipatinga
248000,40809,N8 7PG,Apartment,Old,Rented,Natal
215000,40557,N8 7PG,Apartment,Old,Rented,Natal
163000,40879,UB7 9FH,Apartment,New,Rented,Rio de Janeiro
243000,40550,N8 7PG,Apartment,Old,Rented,Natal
250000,40791,SE23 3TH,Apartment,Old,Rented,Natal
100000,40878,RM1 2RX,Apartment,Old,Rented,Canoas
1000000,40602,W1W 7LS,Apartment,Old,Rented,Natal
225000,40616,SW16 2JS,Apartment,Old,Rented,Natal
215000,40592,N8 7PG,Apartment,Old,Rented,Natal
1750000,42361,E3 5NP,Other,Old,Empty,Natal
210000,42041,E10 6JQ,Apartment,Old,Rented,Natal
345000,42017,N8 7PG,Apartment,Old,Rented,Natal
345000,42248,N8 7PG,Apartment,Old,Rented,Natal
7000,42167,SW17 7HP,Other,Old,Rented,Natal
12500000,42360,W2 4DR,Other,Old,Empty,Natal
17250000,42360,W2 4DR,Other,Old,Empty,Natal
131250,42125,N1 5TQ,Apartment,Old,Rented,Natal
80500,35044,NW2 3UU,Apartment,Old,Rented,Natal
190000,35054,W1W 7LS,Apartment,Old,Rented,Natal
62500,34837,DA16 1AR,Apartment,New,Rented,Suzano
249995,40452,E5 9UB,Apartment,Old,Rented,Natal
325000,40218,SW9 9UH,Apartment,Old,Rented,Natal
242000,40491,N8 7PG,Apartment,Old,Rented,Natal
247000,40506,N8 7PG,Apartment,Old,Rented,Natal
1800000,40298,NW1 9XA,House without Backyard,Old,Empty,Natal
245000,40452,N8 7PG,Apartment,Old,Rented,Natal
245000,40354,N8 7PG,Apartment,Old,Rented,Natal
842000,43811,BR7 5DS,House With Backyard,Old,Empty,Santos
225000,43689,IG3 9JZ,Apartment,Old,Rented,Rio de Janeiro
1130000,43752,E2 7QG,Apartment,Old,Rented,Natal
195000,43798,E1W 3RY,Apartment,Old,Rented,Natal
445000,43798,E11 1PD,Apartment,Old,Rented,Natal
236500,43739,E15 1JN,Apartment,Old,Rented,Natal
335000,43759,IG8 0EA,Apartment,Old,Rented,Santos
293500,43738,RM2 5UF,Apartment,Old,Rented,Canoas
478000,43691,E1 5LD,Apartment,Old,Rented,Natal
344700,43720,E15 2QG,Apartment,Old,Rented,Natal
140000,43707,E5 9HH,Apartment,Old,Rented,Natal
188000,43689,E9 7PX,Apartment,Old,Rented,Natal
1400000,43762,N3 3JG,Apartment,Old,Rented,Natal
503500,43742,E14 0TT,Apartment,New,Rented,Natal
990000,43822,N1C 4PF,Apartment,New,Rented,Natal
275000,43770,N12 8JJ,Apartment,Old,Rented,Natal
355000,43756,HA2 8NQ,Apartment,Old,Rented,Rio de Janeiro
395000,43774,E17 7AH,Apartment,Old,Rented,Natal
310000,43777,NW10 8AB,Apartment,Old,Rented,Natal
590000,43770,W3 8EL,Apartment,Old,Rented,Natal
750000,43769,E5 8SG,Apartment,Old,Rented,Natal
520000,43777,W3 9RD,Apartment,Old,Rented,Natal
640000,43781,N10 2LH,House With Backyard,Old,Empty,Natal
530000,43679,TW7 6BS,Apartment,Old,Rented,Brusque
184000,43756,E14 7AJ,Apartment,Old,Rented,Natal
487500,43775,N2 8HN,Apartment,Old,Rented,Natal
275000,43769,HA1 3RT,Apartment,Old,Rented,Rio de Janeiro
395000,43774,N9 7QD,Penthouse Apartment,Old,Empty,Natal
457500,43769,N8 7PN,Apartment,Old,Rented,Natal
462000,43676,TW7 6BS,Apartment,Old,Rented,Brusque
1025000,43518,N10 3TA,Apartment,Old,Rented,Natal
460000,43773,N15 4LQ,Penthouse Apartment,Old,Empty,Natal
575000,43728,W3 8EL,Apartment,Old,Rented,Natal
426000,40182,SW11 3AB,Apartment,Old,Rented,Natal
904125,44026,SW20 8EJ,Penthouse Apartment,Old,Empty,Natal
850000,44027,TW9 2PL,Penthouse Apartment,Old,Empty,Osasco
380000,43945,KT9 2BL,Penthouse Apartment,Old,Empty,Belo Horizonte
742500,44013,SM2 6LZ,House without Backyard,Old,Empty,Londrina
380000,44036,SM3 9SE,Penthouse Apartment,Old,Empty,Londrina
1568000,44022,KT6 6PU,House With Backyard,Old,Empty,Rio de Janeiro
815000,44028,KT2 6LG,House without Backyard,Old,Empty,Rio de Janeiro
430000,44025,CR4 3BA,Penthouse Apartment,Old,Empty,Rio de Janeiro
600000,44033,SM3 8LB,House without Backyard,Old,Empty,Londrina
671500,44015,SM2 6ET,House without Backyard,Old,Empty,Londrina
390000,44027,CR0 7AP,Penthouse Apartment,Old,Empty,Fortaleza
3290000,44029,TW10 6QJ,Penthouse Apartment,Old,Empty,Osasco
445000,43998,SE25 5NQ,Penthouse Apartment,Old,Empty,Natal
460000,44015,CR0 6JF,House without Backyard,Old,Empty,Fortaleza
485000,44015,CR0 8DX,House With Backyard,Old,Empty,Fortaleza
885000,44014,SW19 1HS,Penthouse Apartment,Old,Empty,Natal
417000,44022,SM1 3PE,Penthouse Apartment,Old,Empty,Londrina
555000,44029,KT5 9BZ,Penthouse Apartment,Old,Empty,Rio de Janeiro
800000,44022,SW20 8JZ,Penthouse Apartment,Old,Empty,Natal
1248000,40598,N6 5NX,Penthouse Apartment,Old,Empty,Natal
228000,40770,N8 7PG,Apartment,Old,Rented,Natal
580000,40676,SW18 1AN,Penthouse Apartment,Old,Empty,Natal
322500,40599,EC2A 4QS,Apartment,Old,Rented,Natal
237500,40550,N8 7PG,Apartment,Old,Rented,Natal
243000,40858,N8 7PG,Apartment,Old,Rented,Natal
90000,40898,N1 5TQ,Apartment,Old,Rented,Natal
225000,39792,SM4 4LZ,Penthouse Apartment,Old,Empty,Santos
240000,39643,N8 7PG,Apartment,Old,Rented,Natal
205000,39660,SE9 3DR,Penthouse Apartment,Old,Empty,Natal
2400000,39527,NW3 7HL,House With Backyard,Old,Empty,Natal
480000,43780,N16 9PH,Apartment,Old,Rented,Natal
470000,43665,N4 2QY,Apartment,Old,Rented,Natal
1280000,43763,W5 2JB,Apartment,Old,Rented,Natal
325000,43759,UB7 8EU,Penthouse Apartment,Old,Empty,Rio de Janeiro
765000,43784,E10 6HZ,Penthouse Apartment,Old,Empty,Natal
737500,43532,W5 2AW,Apartment,Old,Rented,Natal
498000,43773,N16 8QR,Apartment,Old,Rented,Natal
381440,43780,N16 6HR,Apartment,Old,Rented,Natal
485000,43781,W4 1AZ,Apartment,Old,Rented,Natal
635000,43781,W3 7SZ,Apartment,Old,Rented,Natal
192500,43679,N20 0YD,Apartment,Old,Rented,Natal
785000,43769,W4 1EX,Apartment,Old,Rented,Natal
499500,43782,W3 8EL,Apartment,Old,Rented,Natal
435000,43760,N16 9EH,Apartment,Old,Rented,Natal
475000,43774,HA0 2JB,Apartment,Old,Rented,Rio de Janeiro
400649,43525,E17 8EJ,Apartment,Old,Rented,Natal
380000,43767,W3 8EL,Apartment,Old,Rented,Natal
487500,43774,EN1 2PT,Apartment,Old,Rented,Salvador
310000,43769,E1 2JY,Apartment,Old,Rented,Natal
290000,43769,E1 2JY,Apartment,Old,Rented,Natal
398000,43784,E10 6PR,Apartment,Old,Rented,Natal
585000,43787,E5 9BU,Apartment,New,Rented,Natal
700800,43804,N1 7GZ,Apartment,New,Rented,Natal
457500,43805,E5 8NS,Apartment,Old,Rented,Natal
500000,43805,E3 2XT,Apartment,New,Rented,Natal
355000,43756,HA2 8NQ,Apartment,Old,Rented,Rio de Janeiro
437500,43684,E3 2YY,Apartment,New,Rented,Natal
1230000,43784,E1 8ZP,Apartment,New,Rented,Natal
600000,43689,E3 2YY,Apartment,New,Rented,Natal
477500,43658,E3 2YZ,Apartment,New,Rented,Natal
176000,35289,N3 3LL,House With Backyard,Old,Empty,Natal
144000,35300,W3 6DR,House With Backyard,Old,Empty,Natal
92000,35198,RM14 1XW,House With Backyard,Old,Empty,Belo Horizonte
23000,35298,N1 0LZ,House With Backyard,Old,Empty,Natal
2000,35398,SE22 9AH,House without Backyard,Old,Empty,Natal
205000,35130,W1W 7LS,Apartment,New,Rented,Natal
63500,35328,SW2 3LX,Apartment,Old,Rented,Natal
210000,35123,W1W 7LS,Apartment,New,Rented,Natal
250000,39941,N14 5BN,Apartment,New,Rented,Natal
15999,40091,RM9 5PA,Other,Old,Rented,Belo Horizonte
220000,39833,SE26 4BB,Penthouse Apartment,Old,Empty,Natal
320000,39961,W14 8HU,Apartment,Old,Rented,Natal
80000,40101,N1 5TQ,Apartment,Old,Rented,Natal
228500,41096,N8 7PG,Apartment,Old,Rented,Natal
442500,41145,SW8 3PS,Apartment,Old,Rented,Natal
229500,40939,N8 7PG,Apartment,Old,Rented,Natal
247000,41228,CR0 9LQ,Penthouse Apartment,Old,Empty,Fortaleza
259950,41149,N8 7PG,Apartment,Old,Rented,Natal
482500,43668,E3 2YZ,Apartment,New,Rented,Natal
485000,43787,N17 6FR,Apartment,New,Rented,Natal
316000,43738,W4 5QW,Apartment,New,Rented,Natal
336000,43745,W4 5JJ,Apartment,New,Rented,Natal
324000,43742,W4 5QW,Apartment,New,Rented,Natal
310000,43727,W4 5QW,Apartment,New,Rented,Natal
326000,43727,W4 5QW,Apartment,New,Rented,Natal
